# BUSCO version is: 5.8.0 
# The lineage dataset is: micrococcales_odb10 (Creation date: 2024-01-08, number of genomes: 234, number of BUSCOs: 537)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
30at85006	Complete	NODE_1_length_1475171_cov_354.830449	1397002	1392502	-	2193.3	1249	https://v10-1.orthodb.org/?query=30at85006	Glutamate synthase, alpha subunit, C-terminal
111at85006	Complete	NODE_3_length_491278_cov_352.009914	316226	319964	+	1976.1	1082	https://v10-1.orthodb.org/?query=111at85006	DNA-directed RNA polymerase subunit beta'
215at85006	Complete	NODE_2_length_676389_cov_354.803251	267481	264178	-	1591.0	906	https://v10-1.orthodb.org/?query=215at85006	Alpha-ketoglutarate decarboxylase
406at85006	Complete	NODE_1_length_1475171_cov_354.830449	1415782	1412518	-	1672.5	944	https://v10-1.orthodb.org/?query=406at85006	Carbamoyl-phosphate synthase large chain
425at85006	Complete	NODE_3_length_491278_cov_352.009914	312723	316116	+	1833.8	973	https://v10-1.orthodb.org/?query=425at85006	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
447at85006	Complete	NODE_5_length_178176_cov_341.842385	156543	159390	+	960.8	678	https://v10-1.orthodb.org/?query=447at85006	RNA helicase HrpA
458at85006	Complete	NODE_5_length_178176_cov_341.842385	75389	72041	-	1372.9	844	https://v10-1.orthodb.org/?query=458at85006	Transcription-repair-coupling factor
721at85006	Complete	NODE_1_length_1475171_cov_354.830449	892861	895684	+	1456.0	818	https://v10-1.orthodb.org/?query=721at85006	UvrABC system protein A
747at85006	Complete	NODE_1_length_1475171_cov_354.830449	1290147	1293228	+	1251.4	753	https://v10-1.orthodb.org/?query=747at85006	Isoleucine--tRNA ligase
758at85006	Complete	NODE_1_length_1475171_cov_354.830449	993464	996278	+	1357.4	731	https://v10-1.orthodb.org/?query=758at85006	Aconitate hydratase
812at85006	Complete	NODE_1_length_1475171_cov_354.830449	1285835	1283342	-	1163.8	698	https://v10-1.orthodb.org/?query=812at85006	Valine--tRNA ligase
848at85006	Complete	NODE_1_length_1475171_cov_354.830449	1311691	1314115	+	849.8	672	https://v10-1.orthodb.org/?query=848at85006	Leucine--tRNA ligase
956at85006	Complete	NODE_2_length_676389_cov_354.803251	47482	49861	+	778.7	552	https://v10-1.orthodb.org/?query=956at85006	UvrD-like DNA helicase, C-terminal
1055at85006	Complete	NODE_4_length_275063_cov_365.955049	38783	41222	+	1255.5	683	https://v10-1.orthodb.org/?query=1055at85006	DNA gyrase subunit A
1156at85006	Complete	NODE_3_length_491278_cov_352.009914	213790	216175	+	1313.0	696	https://v10-1.orthodb.org/?query=1156at85006	Clp, N-terminal
1175at85006	Complete	NODE_2_length_676389_cov_354.803251	440880	443478	+	1070.3	692	https://v10-1.orthodb.org/?query=1175at85006	DNA topoisomerase I, type IA
1234at85006	Complete	NODE_2_length_676389_cov_354.803251	250280	252764	+	1305.4	721	https://v10-1.orthodb.org/?query=1234at85006	SecA, preprotein cross-linking domain
1533at85006	Complete	NODE_1_length_1475171_cov_354.830449	1440572	1437359	-	573.1	597	https://v10-1.orthodb.org/?query=1533at85006	UvrD-like DNA helicase, C-terminal
1568at85006	Complete	NODE_3_length_491278_cov_352.009914	326746	328858	+	1160.0	609	https://v10-1.orthodb.org/?query=1568at85006	Elongation factor G
1636at85006	Complete	NODE_1_length_1475171_cov_354.830449	1429718	1426931	-	945.7	725	https://v10-1.orthodb.org/?query=1636at85006	Uncharacterised protein family UPF0182
1682at85006	Complete	NODE_1_length_1475171_cov_354.830449	962842	965686	+	866.8	685	https://v10-1.orthodb.org/?query=1682at85006	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
1760at85006	Complete	NODE_6_length_134275_cov_361.180815	33303	35814	+	994.6	653	https://v10-1.orthodb.org/?query=1760at85006	DEAD/DEAH box helicase
1875at85006	Complete	NODE_1_length_1475171_cov_354.830449	988088	985775	-	1053.7	631	https://v10-1.orthodb.org/?query=1875at85006	DNA topoisomerase, type IIA, subunit A/C-terminal
1963at85006	Complete	NODE_1_length_1475171_cov_354.830449	743456	745964	+	807.4	649	https://v10-1.orthodb.org/?query=1963at85006	Phenylalanine--tRNA ligase beta subunit
2004at85006	Complete	NODE_1_length_1475171_cov_354.830449	1388109	1385520	-	1019.7	642	https://v10-1.orthodb.org/?query=2004at85006	DNA polymerase I
2025at85006	Complete	NODE_1_length_1475171_cov_354.830449	1030510	1032667	+	1150.1	645	https://v10-1.orthodb.org/?query=2025at85006	RelA/SpoT
2102at85006	Complete	NODE_1_length_1475171_cov_354.830449	1039168	1041781	+	1038.4	715	https://v10-1.orthodb.org/?query=2102at85006	Alanine--tRNA ligase
2203at85006	Complete	NODE_1_length_1475171_cov_354.830449	698655	700857	+	1227.4	629	https://v10-1.orthodb.org/?query=2203at85006	Polyribonucleotide nucleotidyltransferase
2231at85006	Complete	NODE_1_length_1475171_cov_354.830449	1016962	1018783	+	918.4	533	https://v10-1.orthodb.org/?query=2231at85006	Threonine--tRNA ligase
2397at85006	Complete	NODE_1_length_1475171_cov_354.830449	983508	985563	+	976.8	558	https://v10-1.orthodb.org/?query=2397at85006	DNA topoisomerase, type IIA
2460at85006	Complete	NODE_1_length_1475171_cov_354.830449	889947	891990	+	1088.3	583	https://v10-1.orthodb.org/?query=2460at85006	excinuclease ABC subunit B
2562at85006	Complete	NODE_1_length_1475171_cov_354.830449	996399	998241	+	829.9	523	https://v10-1.orthodb.org/?query=2562at85006	1-deoxy-D-xylulose-5-phosphate synthase
2815at85006	Complete	NODE_2_length_676389_cov_354.803251	381720	383574	+	920.9	534	https://v10-1.orthodb.org/?query=2815at85006	Translation initiation factor IF-2
2923at85006	Complete	NODE_1_length_1475171_cov_354.830449	912318	910272	-	1134.8	637	https://v10-1.orthodb.org/?query=2923at85006	Transketolase
3059at85006	Complete	NODE_5_length_178176_cov_341.842385	126592	125047	-	534.9	422	https://v10-1.orthodb.org/?query=3059at85006	Methionine--tRNA ligase
3194at85006	Complete	NODE_1_length_1475171_cov_354.830449	1469973	1468131	-	952.6	526	https://v10-1.orthodb.org/?query=3194at85006	GTP-binding protein
3201at85006	Complete	NODE_1_length_1475171_cov_354.830449	1141082	1142816	+	1012.4	534	https://v10-1.orthodb.org/?query=3201at85006	Acetolactate synthase
3439at85006	Complete	NODE_3_length_491278_cov_352.009914	464317	466153	+	828.3	508	https://v10-1.orthodb.org/?query=3439at85006	Glutamine--fructose-6-phosphate aminotransferase 
3812at85006	Complete	NODE_1_length_1475171_cov_354.830449	1330674	1332471	+	1031.8	534	https://v10-1.orthodb.org/?query=3812at85006	Elongation factor 4
3848at85006	Complete	NODE_1_length_1475171_cov_354.830449	1232611	1234792	+	729.5	508	https://v10-1.orthodb.org/?query=3848at85006	DNA ligase
3908at85006	Complete	NODE_2_length_676389_cov_354.803251	6207	7779	+	773.6	441	https://v10-1.orthodb.org/?query=3908at85006	CTP synthase
4096at85006	Complete	NODE_1_length_1475171_cov_354.830449	1362384	1364838	+	1106.3	675	https://v10-1.orthodb.org/?query=4096at85006	Helicase, C-terminal
4229at85006	Complete	NODE_1_length_1475171_cov_354.830449	4144	5992	+	977.1	505	https://v10-1.orthodb.org/?query=4229at85006	Chaperone protein DnaK
4317at85006	Complete	NODE_1_length_1475171_cov_354.830449	47910	49851	+	678.9	490	https://v10-1.orthodb.org/?query=4317at85006	peptidase M13
4730at85006	Complete	NODE_4_length_275063_cov_365.955049	36746	38699	+	925.8	535	https://v10-1.orthodb.org/?query=4730at85006	DNA gyrase subunit B
4956at85006	Complete	NODE_4_length_275063_cov_365.955049	99938	98690	-	383.4	311	https://v10-1.orthodb.org/?query=4956at85006	Argininosuccinate synthase
5063at85006	Complete	NODE_1_length_1475171_cov_354.830449	895733	897584	+	811.6	524	https://v10-1.orthodb.org/?query=5063at85006	GIY-YIG endonuclease
5077at85006	Complete	NODE_1_length_1475171_cov_354.830449	1256653	1258330	+	997.9	519	https://v10-1.orthodb.org/?query=5077at85006	energy-dependent translational throttle protein EttA
5177at85006	Complete	NODE_1_length_1475171_cov_354.830449	941812	943402	+	694.0	402	https://v10-1.orthodb.org/?query=5177at85006	DNA primase
5260at85006	Complete	NODE_1_length_1475171_cov_354.830449	62380	63751	+	687.9	387	https://v10-1.orthodb.org/?query=5260at85006	Glycine--tRNA ligase
5268at85006	Complete	NODE_1_length_1475171_cov_354.830449	292796	291191	-	788.8	448	https://v10-1.orthodb.org/?query=5268at85006	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
5618at85006	Complete	NODE_1_length_1475171_cov_354.830449	1183054	1184767	+	536.9	400	https://v10-1.orthodb.org/?query=5618at85006	Helicase, C-terminal
5629at85006	Complete	NODE_3_length_491278_cov_352.009914	489301	490846	+	777.2	439	https://v10-1.orthodb.org/?query=5629at85006	GMP synthase
5655at85006	Complete	NODE_1_length_1475171_cov_354.830449	1351349	1353146	+	845.5	502	https://v10-1.orthodb.org/?query=5655at85006	Helicase/UvrB, N-terminal
5833at85006	Complete	NODE_2_length_676389_cov_354.803251	342110	343571	+	920.2	462	https://v10-1.orthodb.org/?query=5833at85006	ATP synthase subunit alpha
5899at85006	Complete	NODE_2_length_676389_cov_354.803251	344730	346101	+	724.8	386	https://v10-1.orthodb.org/?query=5899at85006	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
5923at85006	Complete	NODE_1_length_1475171_cov_354.830449	907477	905980	-	733.7	414	https://v10-1.orthodb.org/?query=5923at85006	glucose-6-phosphate dehydrogenase
5949at85006	Complete	NODE_2_length_676389_cov_354.803251	374741	376427	+	747.7	455	https://v10-1.orthodb.org/?query=5949at85006	Proline--tRNA ligase
6130at85006	Complete	NODE_1_length_1475171_cov_354.830449	961356	962670	+	762.5	403	https://v10-1.orthodb.org/?query=6130at85006	Glutamine synthetase
6177at85006	Complete	NODE_1_length_1475171_cov_354.830449	722439	723903	+	777.5	412	https://v10-1.orthodb.org/?query=6177at85006	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
6245at85006	Complete	NODE_2_length_676389_cov_354.803251	191033	189470	-	792.3	450	https://v10-1.orthodb.org/?query=6245at85006	Methylmalonyl-CoA carboxyltransferase
6312at85006	Complete	NODE_4_length_275063_cov_365.955049	254174	255572	+	445.4	351	https://v10-1.orthodb.org/?query=6312at85006	Amidophosphoribosyltransferase
6604at85006	Complete	NODE_1_length_1475171_cov_354.830449	915715	917077	+	853.2	418	https://v10-1.orthodb.org/?query=6604at85006	SUF system FeS cluster assembly, SufBD
6669at85006	Complete	NODE_1_length_1475171_cov_354.830449	875580	874047	-	786.3	460	https://v10-1.orthodb.org/?query=6669at85006	Ubiquinol-cytochrome c reductase cytochrome b subunit
6743at85006	Complete	NODE_3_length_491278_cov_352.009914	91962	90618	-	559.7	354	https://v10-1.orthodb.org/?query=6743at85006	Adenylosuccinate lyase
7148at85006	Complete	NODE_1_length_1475171_cov_354.830449	1390996	1389589	-	621.7	396	https://v10-1.orthodb.org/?query=7148at85006	Pyruvate kinase
7215at85006	Complete	NODE_1_length_1475171_cov_354.830449	1300164	1301643	+	623.9	394	https://v10-1.orthodb.org/?query=7215at85006	GTPase Obg
7240at85006	Complete	NODE_6_length_134275_cov_361.180815	104176	105646	+	628.2	397	https://v10-1.orthodb.org/?query=7240at85006	Lysine--tRNA ligase
7451at85006	Complete	NODE_1_length_1475171_cov_354.830449	1173545	1174934	+	869.5	439	https://v10-1.orthodb.org/?query=7451at85006	3-isopropylmalate dehydratase large subunit
7541at85006	Complete	NODE_1_length_1475171_cov_354.830449	970241	968837	-	780.9	425	https://v10-1.orthodb.org/?query=7541at85006	Glutamine synthetase
7837at85006	Complete	NODE_4_length_275063_cov_365.955049	148045	149326	+	701.2	385	https://v10-1.orthodb.org/?query=7837at85006	adenylosuccinate synthase
8118at85006	Complete	NODE_1_length_1475171_cov_354.830449	1385457	1383816	-	621.2	400	https://v10-1.orthodb.org/?query=8118at85006	Protein of unknown function DUF885
8326at85006	Complete	NODE_5_length_178176_cov_341.842385	48557	47300	-	589.2	346	https://v10-1.orthodb.org/?query=8326at85006	ATP-binding protein
8714at85006	Complete	NODE_1_length_1475171_cov_354.830449	1238762	1240247	+	727.1	428	https://v10-1.orthodb.org/?query=8714at85006	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
8726at85006	Complete	NODE_1_length_1475171_cov_354.830449	1342383	1344102	+	901.3	493	https://v10-1.orthodb.org/?query=8726at85006	2-isopropylmalate synthase
8810at85006	Complete	NODE_3_length_491278_cov_352.009914	2423	3782	+	819.8	454	https://v10-1.orthodb.org/?query=8810at85006	DNA helicase, DnaB-like, N-terminal
8892at85006	Complete	NODE_2_length_676389_cov_354.803251	257826	259194	+	389.5	307	https://v10-1.orthodb.org/?query=8892at85006	Signal transduction histidine kinase, N-terminal
9109at85006	Complete	NODE_2_length_676389_cov_354.803251	549079	550651	+	800.9	453	https://v10-1.orthodb.org/?query=9109at85006	GroEL-like apical domain superfamily
9173at85006	Complete	NODE_2_length_676389_cov_354.803251	75532	77086	+	686.0	431	https://v10-1.orthodb.org/?query=9173at85006	Methylglyoxal synthase-like domain
9200at85006	Complete	NODE_1_length_1475171_cov_354.830449	758998	760336	+	704.2	401	https://v10-1.orthodb.org/?query=9200at85006	Argininosuccinate lyase
9209at85006	Complete	NODE_4_length_275063_cov_365.955049	22858	24412	+	387.7	416	https://v10-1.orthodb.org/?query=9209at85006	Peptidoglycan biosynthesis protein MurJ
9342at85006	Complete	NODE_1_length_1475171_cov_354.830449	1448820	1450119	+	641.4	392	https://v10-1.orthodb.org/?query=9342at85006	Peptidase M24
9593at85006	Complete	NODE_1_length_1475171_cov_354.830449	727175	728450	+	671.6	376	https://v10-1.orthodb.org/?query=9593at85006	GTPase HflX
9756at85006	Complete	NODE_1_length_1475171_cov_354.830449	1443610	1440862	-	434.1	598	https://v10-1.orthodb.org/?query=9756at85006	UvrD-like DNA helicase, C-terminal
9779at85006	Complete	NODE_3_length_491278_cov_352.009914	481021	482485	+	761.1	425	https://v10-1.orthodb.org/?query=9779at85006	IMP dehydrogenase
9821at85006	Complete	NODE_2_length_676389_cov_354.803251	322524	324120	+	515.6	400	https://v10-1.orthodb.org/?query=9821at85006	Arginine--tRNA ligase
9867at85006	Complete	NODE_2_length_676389_cov_354.803251	179153	177593	-	512.6	408	https://v10-1.orthodb.org/?query=9867at85006	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
10154at85006	Complete	NODE_4_length_275063_cov_365.955049	32223	33282	+	628.2	329	https://v10-1.orthodb.org/?query=10154at85006	Chromosomal replication initiator protein DnaA
10228at85006	Complete	NODE_5_length_178176_cov_341.842385	44249	45581	+	623.1	374	https://v10-1.orthodb.org/?query=10228at85006	Fumarate hydratase class II
10232at85006	Complete	NODE_2_length_676389_cov_354.803251	522722	524114	+	551.5	378	https://v10-1.orthodb.org/?query=10232at85006	Cysteine--tRNA ligase
10237at85006	Complete	NODE_2_length_676389_cov_354.803251	364871	363443	-	381.4	326	https://v10-1.orthodb.org/?query=10237at85006	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
10294at85006	Complete	NODE_1_length_1475171_cov_354.830449	1400147	1399028	-	519.0	310	https://v10-1.orthodb.org/?query=10294at85006	Tryptophan synthase beta chain
10915at85006	Complete	NODE_1_length_1475171_cov_354.830449	842471	844148	+	320.2	342	https://v10-1.orthodb.org/?query=10915at85006	Penicillin-binding protein, dimerisation domain
10930at85006	Complete	NODE_1_length_1475171_cov_354.830449	1464839	1463717	-	542.8	323	https://v10-1.orthodb.org/?query=10930at85006	Citrate synthase
11008at85006	Complete	NODE_2_length_676389_cov_354.803251	417693	418977	+	674.9	392	https://v10-1.orthodb.org/?query=11008at85006	aspartate kinase
